 indexrelid | indrelid | indnatts | indisunique | indisprimary | indisexclusion | indimmediate | indisclustered | indisvalid | indcheckxmin | indisready | indislive | indisreplident |  indkey  | indcollation |       indclass       | indoption | indexprs | indpred 
       2687 |     2616 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2688 |     2617 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2689 |     2617 |        4 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 7 8 2  | 0 0 0 0      | 10040 1981 1981 1981 | 0 0 0 0   |          | 
       2754 |     2753 |        3 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3    | 0 0 0        | 1981 10040 1981      | 0 0 0     |          | 
       2755 |     2753 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       1137 |     1136 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 10040                | 0         |          | 
       2690 |     1255 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2691 |     1255 |        3 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 19 2   | 0 0 0        | 10040 10044 1981     | 0 0 0     |          | 
       2692 |     2618 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2693 |     2618 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 2 1      | 0 0          | 1981 10040           | 0 0       |          | 
       1232 |     1214 |        4 | f           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3 4  | 0 0 0 0      | 1981 1981 1981 1978  | 0 0 0 0   |          | 
       1233 |     1214 |        2 | f           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 5 6      | 0 0          | 1981 1981            | 0 0       |          | 
       2696 |     2619 |        3 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3    | 0 0 0        | 1981 1979 10018      | 0 0 0     |          | 
       2697 |     1213 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2698 |     1213 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 10040                | 0         |          | 
       3574 |     3576 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3575 |     3576 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1981            | 0 0       |          | 
       2699 |     2620 |        1 | f           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 9        | 0            | 1981                 | 0         |          | 
       2701 |     2620 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 10040           | 0 0       |          | 
       2702 |     2620 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3467 |     3466 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 10040                | 0         |          | 
       3468 |     3466 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3608 |     3602 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 10040 1981           | 0 0       |          | 
       3712 |     3602 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3609 |     3603 |        3 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3    | 0 0 0        | 1981 1978 1978       | 0 0 0     |          | 
       3604 |     3600 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 10040 1981           | 0 0       |          | 
       3605 |     3600 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3606 |     3601 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 10040 1981           | 0 0       |          | 
       3607 |     3601 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3766 |     3764 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 10040 1981           | 0 0       |          | 
       3767 |     3764 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2703 |     1247 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2704 |     1247 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 10040 1981           | 0 0       |          | 
        112 |     2328 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
        548 |     2328 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 10040                | 0         |          | 
        113 |     1417 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
        549 |     1417 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 10040                | 0         |          | 
        174 |     1418 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
        175 |     1418 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1981            | 0 0       |          | 
       3119 |     3118 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1981                 | 0         |          | 
        827 |      826 |        3 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3    | 0 0 0        | 1981 1981 10022      | 0 0 0     |          | 
        828 |      826 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2965 |     2964 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1981            | 0 0       |          | 
       3597 |     3596 |        4 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3 4  | 0 0 0 100    | 1981 1981 1978 10058 | 0 0 0 0   |          | 
       3593 |     3592 |        3 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3    | 0 0 100      | 1981 1981 10058      | 0 0 0     |          | 
       3080 |     3079 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3081 |     3079 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 10040                | 0         |          | 
       3542 |     3541 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1981                 | 0         |          | 
       4243 |     4242 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 3        | 0            | 1981                 | 0         |          | 
       4241 |     4242 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
       4253 |     4242 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       4255 |     4242 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 6        | 0            | 1981                 | 0         |          | 
       4248 |     4247 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1981            | 0 0       |          | 
       4250 |     4249 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1981                 | 0         |          | 
       4254 |     4249 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       4256 |     4247 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3257 |     3256 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       3258 |     3256 |        2 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 2 1      | 0 0          | 1981 10040           | 0 0       |          | 
       6001 |     6000 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1981                 | 0         |          | 
       6002 |     6000 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 2        | 100          | 10058                | 0         |          | 
      16390 |    16388 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      16391 |    16385 |        1 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1978                 | 0         |          | 
      12534 |    12532 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
      12540 |    12538 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
