 table_catalog |    table_schema    |              table_name               | table_type | self_referencing_column_name | reference_generation | user_defined_type_catalog | user_defined_type_schema | user_defined_type_name | is_insertable_into | is_typed | commit_action 
 booktown      | pg_catalog         | pg_inherits                           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_stat_database_conflicts            | VIEW       |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_stat_user_functions                | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_stat_xact_user_functions           | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_stat_archiver                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_stat_bgwriter                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_user_mappings                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pipeline_proc_stats                   | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pipeline_query_stats                  | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pipeline_stream_stats                 | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pipeline_stats                        | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_index                              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_operator                           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_opfamily                           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_opclass                            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_am                                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_amop                               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_amproc                             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_language                           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_largeobject_metadata               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_database                           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_aggregate                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_rewrite                            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_trigger                            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_event_trigger                      | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_description                        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_cast                               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_enum                               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_namespace                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_conversion                         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_depend                             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_db_role_setting                    | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_tablespace                         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_pltemplate                         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_auth_members                       | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_shdepend                           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_shdescription                      | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_config                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_config_map                      | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_dict                            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_parser                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_template                        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_extension                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_foreign_data_wrapper               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_foreign_server                     | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_foreign_table                      | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_policy                             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_replication_origin                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_default_acl                        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_seclabel                           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_shseclabel                         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_collation                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_range                              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_transform                          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pipeline_combine                      | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pipeline_query                        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pipeline_stream                       | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_seclabels                          | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_statio_user_sequences              | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_stat_activity                      | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
 booktown      | pg_catalog         | pg_stat_replication                   | VIEW       |                              |                      |                           |                          |                        | NO                 | NO       | 
